# [uk_872_eyestrike2_client] recent context, 2026-06-30 5:38pm GMT+8

**Legend:** session-request | 🔴 bugfix | 🟣 feature | 🔄 refactor | ✅ change | 🔵 discovery | ⚖️ decision

**Column Key**:
- **Read**: Tokens to read this observation (cost to learn it now)
- **Work**: Tokens spent on work that produced this record ( research, building, deciding)

**Context Index:** This semantic index (titles, types, files, tokens) is usually sufficient to understand past work.

When you need implementation details, rationale, or debugging context:
- Use MCP tools (search, get_observations) to fetch full observations on-demand
- Critical types ( bugfix, decision) often need detailed fetching
- Trust this index over re-reading code for past decisions and learnings

**Context Economics**:
- Loading: 50 observations (21,615 tokens to read)
- Work investment: 403,359 tokens spent on research, building, and decisions
- Your savings: 95% reduction from reuse

### Jun 26, 2026

**..\..\AI\AI-canonical-corp\skills\slot\uk-slot-pattern-library\patterns\global-multiplier.md**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3193 | 3:41 PM | 🟣 | Created global-multiplier pattern card |  |  |

**..\..\AI\AI-canonical-corp\skills\slot\uk-slot-pattern-library\patterns\collect-feature.md**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3194 | 3:42 PM | 🔵 | Reviewed collect-feature variants and edge cases |  |  |
| #3195 | " | ✅ | Added Wrath of Thunder v2 Collect variants to collect-feature pattern |  |  |
| #3196 | " | ✅ | Added edge cases for Burst and upgraded Collect interaction logic |  |  |

**..\..\AI\AI-canonical-corp\skills\slot\uk-slot-pattern-library\SKILL.md**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3197 | 3:43 PM | ✅ | Updated pattern library index with new Wrath of Thunder v2 patterns |  |  |

**General**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3198 | 3:45 PM | 🔵 | Pattern library directory completely untracked in repository |  |  |
| #3199 | " | 🔵 | Pattern library is new skill addition to existing repository |  |  |
| #3200 | 3:49 PM | 🟣 | Pattern library validation framework launched for 5 Cocos slot game projects |  |  |

**..\..\Cocos_Project\uk_722_robinhood_client\assets\Script\SymbolChange.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3201 | 3:51 PM | 🔵 | Pattern Library Verification - Multi-Agent Cross-Codebase Validation |  |  |

**..\..\Cocos_Project\uk_722_robinhood_client\assets\Script\Game_Define.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3202 | 3:52 PM | 🔵 | Pattern Library Verification Complete - File Sizes and Core Mechanisms Validated |  |  |

**..\..\Cocos_Project\uk_slot_eye_strike\assets\Script\FakeReelManager.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3205 | " | 🔵 | Pattern Library Deep Verification - Advanced Feature Mechanisms and Architecture Details |  |  |

**..\..\Cocos_Project\uk_722_robinhood_client\assets\game\Text\demo\fake_reel_mg.txt**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3208 | 3:55 PM | 🔵 | Pattern-library skill validation across multiple slot game projects |  |  |

**..\..\Cocos_Project\uk_746_far_west_client\assets\Script\ColumnSymbol.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3209 | 3:56 PM | 🔵 | Slot game codebase pattern investigation across multiple projects |  |  |

**..\..\Cocos_Project\uk_slot_eye_strike\extensions\astarte-framework\assets\utilis\ExtraBetController.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3210 | " | 🔵 | Eye Strike ExtraBet Controller Architecture |  |  |

**..\..\Cocos_Project\uk_slot_eye_strike\assets\Script\MagicPot\MagicPotController.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3211 | " | 🔵 | MagicPot Server-Client Level Mapping System |  |  |

**..\..\Cocos_Project\uk_slot_eye_strike\assets\Script\GameState\ScatterShowState.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3212 | 3:57 PM | 🔵 | Collect Symbol Audio and Position Tracking System |  |  |

**assets/Script/GameState/RespinState.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3213 | 3:59 PM | 🔵 | Verified far_west slot game feature implementation claims |  |  |

**..\..\AI\AI-canonical-corp\skills\slot\uk-slot-pattern-library\patterns\collect-feature.md**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3214 | 4:01 PM | 🔵 | Documentation error inspection before correction |  |  |
| #3215 | " | 🔴 | Fixed cross-project feature misattribution in collect-feature documentation |  |  |

**..\..\AI\AI-canonical-corp\skills\slot\uk-slot-pattern-library\patterns\bomb-feature.md**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3216 | " | 🔴 | Corrected bomb mechanism documentation to match actual client implementations |  |  |
| #3217 | 4:02 PM | ✅ | Added implementation warning callout to bomb-feature reference table |  |  |
| #3218 | " | 🔴 | Updated bomb variants table and edge cases to reflect server-driven cascade model |  |  |

**..\..\AI\AI-canonical-corp\skills\slot\uk-slot-pattern-library\patterns\extra-bet.md**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3219 | " | ✅ | Added project-specific annotations to extra-bet and fake-reel-manager documentation |  |  |

**..\..\AI\AI-canonical-corp\skills\slot\uk-slot-pattern-library\patterns\mystery-symbol.md**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3220 | 4:03 PM | ✅ | Enhanced mystery-symbol server-only variant with far_west implementation details |  |  |

### Jun 30, 2026

**assets/Script/FeatureWheel/FeatureWheelManager.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3374 | 2:09 PM | 🔵 | Feature Wheel Spine animation timing mismatch identified |  |  |

