# [uk_pirates_queen] recent context, 2026-06-25 3:51pm GMT+8

**Legend:** session-request | 🔴 bugfix | 🟣 feature | 🔄 refactor | ✅ change | 🔵 discovery | ⚖️ decision

**Column Key**:
- **Read**: Tokens to read this observation (cost to learn it now)
- **Work**: Tokens spent on work that produced this record ( research, building, deciding)

**Context Index:** This semantic index (titles, types, files, tokens) is usually sufficient to understand past work.

When you need implementation details, rationale, or debugging context:
- Use MCP tools (search, get_observations) to fetch full observations on-demand
- Critical types ( bugfix, decision) often need detailed fetching
- Trust this index over re-reading code for past decisions and learnings

**Context Economics**:
- Loading: 50 observations (21,156 tokens to read)
- Work investment: 277,616 tokens spent on research, building, and decisions
- Your savings: 92% reduction from reuse

### Jun 24, 2026

**#S965** Investigation of ExtraBet button lighting bug during two-step variant cancellation flow (Jun 24, 9:00 PM)

**#S967** Fix symbol drop animation timing to occur after big award hint animation in slot game (Jun 24, 9:02 PM)

**assets/Script/GameState/ScatterShowState.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3018 | 9:21 PM | 🔵 | ScatterShowState handles pre-FreeGame scatter animations |  |  |

**assets/Script/EffectPlate/EffectPlate.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3019 | " | 🔵 | SCATTER animation flow uses Win/Enter/Stop/Idle but not Bingo methods |  |  |

**assets/Script/SlotReels.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3020 | 9:22 PM | 🔵 | SCATTER stop animations triggered per reel stop with progressive audio |  |  |

**assets/Script/Audio/AudioManager.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3021 | " | 🔵 | No dedicated Bingo audio clips found in AudioManager |  |  |

**assets/Script/SlotReels.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3022 | " | 🔵 | Recent scatter development focused on audio timing and NearWin演出 |  |  |

**assets/Script/EffectPlate/EffectPlate.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3023 | " | 🔵 | Scatter animation system uses three-level prefab architecture with spine reuse |  |  |

**assets/Script/Audio/AudioManager.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3024 | 9:23 PM | 🔵 | Scatter celebration audio triggers mapped to state transitions |  |  |

**assets/Script/SlotReels.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3025 | " | 🔵 | Reel stop cleanup restores scatter symbols and clears enter animations |  |  |

**assets/Script/GameState/EnterFreeState.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3026 | " | 🔵 | EnterFreeState sequence plays Scatter_bell and transitions to free game mode |  |  |

**assets/Script/GameState/AddFreeState.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3027 | 9:24 PM | 🔵 | AddFreeState plays scatter celebrations during mid-FG round additions |  |  |

### Jun 25, 2026

**assets/Script/SlotReels.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3028 | 9:28 AM | 🔵 | SlotReels drop animation implementation analyzed |  |  |

**assets/Script/GameView.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3029 | " | 🔵 | ShowBigAwardHint call sites identified in game flow |  |  |

**assets/Script/SlotReels.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3030 | " | 🔵 | Drop animation promise usage pattern in SlotReels |  |  |

**assets/Script/GameView.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3031 | 9:29 AM | 🔵 | Spin flow timing reveals sequencing issue |  |  |

**assets/Script/SlotReels.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3032 | " | 🔵 | Drop mode prevents normal spin during drop animation |  |  |
| #3033 | " | 🔵 | Drop and fall sequence coordination mechanism |  |  |

**#S968** Design solution for making DropAllSymbolsOutOfScreen wait for ShowBigAwardHint completion in FreeGame flow (Jun 25, 10:10 AM)

**assets/Script/GameState/SpinState.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3034 | 10:11 AM | 🔵 | FreeGame shows big award hint during SpinState entry, before spin loop starts |  |  |

**assets/Script/GameView.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3035 | " | 🔵 | OnRecvSpinAck_Test exists as alternative handler alongside production version |  |  |

**assets/Script/SlotReels.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3036 | " | 🔵 | SetPlateInfo triggers drop animation chain when server plate data arrives |  |  |

**assets/Script/GameView.ts**
