# [uk_pirates_queen] recent context, 2026-06-25 7:24pm GMT+8

**Legend:** session-request | 🔴 bugfix | 🟣 feature | 🔄 refactor | ✅ change | 🔵 discovery | ⚖️ decision

**Column Key**:
- **Read**: Tokens to read this observation (cost to learn it now)
- **Work**: Tokens spent on work that produced this record ( research, building, deciding)

**Context Index:** This semantic index (titles, types, files, tokens) is usually sufficient to understand past work.

When you need implementation details, rationale, or debugging context:
- Use MCP tools (search, get_observations) to fetch full observations on-demand
- Critical types ( bugfix, decision) often need detailed fetching
- Trust this index over re-reading code for past decisions and learnings

**Context Economics**:
- Loading: 50 observations (15,830 tokens to read)
- Work investment: 229,678 tokens spent on research, building, and decisions
- Your savings: 93% reduction from reuse

### Jun 25, 2026

**assets/Script/GameState/LeaveFreeState.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3052 | 11:52 AM | 🔴 | Clear Bounty Data When FreeGame Ends |  |  |

**assets/Script/SlotReels.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3053 | 1:24 PM | 🔵 | NearWin logic disabled during FreeGame mode |  |  |
| #3054 | " | 🔵 | Target symbol spine animation reuse during falls |  |  |
| #3055 | 1:25 PM | ✅ | Added diagnostic logging for Target symbol spine reuse during falls |  |  |
| #3056 | " | ✅ | Added diagnostic logging for new Target spine creation during falls |  |  |

**General**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3057 | " | ✅ | TypeScript validation passed after diagnostic logging additions |  |  |

**#S975** Debug intermittent GoldTarget IN animation not playing issue in FreeGame mode (Jun 25, 2:03 PM)

**#S976** Stop FreeGame BGM when FG_End sound effect plays (Jun 25, 2:08 PM)

**assets/Script/EffectPlate/EffectPlate.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3058 | 2:09 PM | ✅ | Added diagnostic logging for GoldTarget IN animation debugging |  |  |
| #3059 | " | ✅ | Implemented comprehensive GoldTarget animation path diagnostics |  |  |

**assets/Script/SlotReels.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3060 | 2:13 PM | 🔵 | Initial toFixed Usage Search in Codebase |  |  |

**assets/Script/GameView.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3061 | " | 🔵 | Winning Score Formatting System Located |  |  |

**assets/Script/Common/Common.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3062 | 2:14 PM | 🔵 | Number Formatting System File Scope Identified |  |  |

**extensions/astarte-framework/assets/utilis/Tools.ts**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #3063 | " | 🔵 | FORMAT_NUMBER_TYPE Enum Definition Located in Framework |  |  |
| #3064 | " | 🔵 | Complete FORMAT_NUMBER_TYPE Enum and Decimal Configuration System |  |  |

